,n_HeavyAtomCount,LogP,n_SMILES
1234,H26,P350,45530843
1235,H26,P360,42626145
1236,H26,P370,38387165
1237,H26,P380,35119168
1238,H26,P390,31820000
1239,H26,P400,28262110
1240,H26,P410,24988239
1241,H26,P420,21889115
1242,H26,P430,19346924
1243,H26,P440,16290714
1244,H26,P450,13550574
1245,H26,P460,11740492
1246,H26,P470,9879607
1247,H26,P480,8508182
1248,H26,P490,7389121
1249,H26,P500,35902965
1250,H26,P600,5801853
1251,H26,P700,360552
1252,H26,P800,9994
1253,H26,P900,184
1254,H27,M000,187722706
1255,H27,M100,46665040
1256,H27,M200,7281683
1257,H27,M300,716144
1258,H27,M400,38900
1259,H27,M500,817
1260,H27,P000,35584136
1261,H27,P010,39238994
1262,H27,P020,43372943
1263,H27,P030,47678885
1264,H27,P040,52376814
1265,H27,P050,57035263
1266,H27,P060,60048354
1267,H27,P070,64751642
1268,H27,P080,69617228
1269,H27,P090,74689462
1270,H27,P100,79550399
1271,H27,P110,83993190
1272,H27,P120,91275748
1273,H27,P130,95879389
1274,H27,P140,100218281
1275,H27,P150,91109064
1276,H27,P160,108479666
1277,H27,P170,111761283
1278,H27,P180,114131082
1279,H27,P190,116796281
1280,H27,P200,119441408
1281,H27,P210,101155423
1282,H27,P220,121577515
1283,H27,P230,120866041
1284,H27,P240,120410548
1285,H27,P250,119284527
1286,H27,P260,117652641
1287,H27,P270,115099990
1288,H27,P280,112034490
1289,H27,P290,107666817
1290,H27,P300,105104299
1291,H27,P310,101056317
1292,H27,P320,95264722
1293,H27,P330,88669634
1294,H27,P340,5324507
1295,H27,P350,5417053
1296,H27,P360,71678687
1297,H27,P370,64868951
1298,H27,P380,59089975
1299,H27,P390,53596500
1300,H27,P400,48048886
1301,H27,P410,43262862
1302,H27,P420,38248472
1303,H27,P430,34119159
1304,H27,P440,29185486
1305,H27,P450,24429530
1306,H27,P460,21033514
1307,H27,P470,17626059
1308,H27,P480,14770230
1309,H27,P490,12690986
1310,H27,P500,58187304
1311,H27,P600,10192860
1312,H27,P700,782178
1313,H27,P800,26599
1314,H27,P900,693
1315,H28,M000,217052609
1316,H28,M100,58028936
1317,H28,M200,8859839
1318,H28,M300,845200
1319,H28,M400,43347
1320,H28,M500,882
1321,H28,P000,46498733
1322,H28,P010,51874944
1323,H28,P020,57387023
1324,H28,P030,63474235
1325,H28,P040,69956312
1326,H28,P050,76665482
1327,H28,P060,83284594
1328,H28,P070,89334287
1329,H28,P080,96457222
1330,H28,P090,104346703
1331,H28,P100,111737402
1332,H28,P110,117836555
1333,H28,P120,125181957
1334,H28,P130,129462633
1335,H28,P140,136471156
1336,H28,P150,143462835
1337,H28,P160,152757444
1338,H28,P170,152729589
1339,H28,P180,158811486
1340,H28,P190,167425869
1341,H28,P200,168571185
1342,H28,P210,169586532
1343,H28,P220,172027158
1344,H28,P230,176225608
1345,H28,P240,171766117
1346,H28,P250,170996757
1347,H28,P260,166397564
1348,H28,P270,152012951
1349,H28,P280,165813898
1350,H28,P290,162319103
1351,H28,P300,155052209
1352,H28,P310,152705828
1353,H28,P320,148466826
1354,H28,P330,139165894
1355,H28,P340,132498589
1356,H28,P350,2852375
1357,H28,P360,2998088
1358,H28,P370,107415255
1359,H28,P380,98576127
1360,H28,P390,89520050
1361,H28,P400,80554068
1362,H28,P410,72736378
1363,H28,P420,64854298
1364,H28,P430,57661782
1365,H28,P440,50610288
1366,H28,P450,43237227
1367,H28,P460,37404790
1368,H28,P470,32073236
1369,H28,P480,26985533
1370,H28,P490,22998264
1371,H28,P500,100061835
1372,H28,P600,17337055
1373,H28,P700,1602165
1374,H28,P800,66249
1375,H28,P900,2075
1376,H29,M000,195071418
1377,H29,M100,45823339
1378,H29,M200,7178717
1379,H29,M300,634495
1380,H29,M400,31404
1381,H29,M500,638
1382,H29,P000,41018032
1383,H29,P010,45628470
1384,H29,P020,51498053
1385,H29,P030,58579292
1386,H29,P040,64370908
1387,H29,P050,68858258
1388,H29,P060,76595764
1389,H29,P070,84444280
1390,H29,P080,120788592
1391,H29,P090,129122384
1392,H29,P100,138166924
1393,H29,P110,148075582
1394,H29,P120,157973408
1395,H29,P130,163956930
1396,H29,P140,175042438
1397,H29,P150,178462150
1398,H29,P160,194503417
1399,H29,P170,197598080
1400,H29,P180,210396481
1401,H29,P190,217036105
1402,H29,P200,205473866
1403,H29,P210,211420422
1404,H29,P220,215067531
1405,H29,P230,216249708
1406,H29,P240,216086904
1407,H29,P250,217895929
1408,H29,P260,232311570
1409,H29,P270,236115997
1410,H29,P280,219893226
1411,H29,P290,215161767
1412,H29,P300,216850367
1413,H29,P310,206151255
1414,H29,P320,199137391
1415,H29,P330,193472198
1416,H29,P340,6082833
1417,H29,P350,179176729
1418,H29,P360,170456393
1419,H29,P370,160408267
1420,H29,P380,142817634
1421,H29,P390,133829421
1422,H29,P400,124786371
1423,H29,P410,114150982
1424,H29,P420,102285726
1425,H29,P430,90246803
1426,H29,P440,79781978
1427,H29,P450,69776384
1428,H29,P460,60740072
1429,H29,P470,51943511
1430,H29,P480,45038616
1431,H29,P490,38520211
1432,H29,P500,167631374
1433,H29,P600,28538687
1434,H29,P700,3112969
1435,H29,P800,154520
1436,H29,P900,5390
