,n_HeavyAtomCount,LogP,n_SMILES
275,H10,P200,1731
276,H10,P210,1919
277,H10,P220,1360
278,H10,P230,1264
279,H10,P240,1160
280,H10,P250,939
281,H10,P260,670
282,H10,P270,671
283,H10,P280,580
284,H10,P290,517
285,H10,P300,517
286,H10,P310,385
287,H10,P320,382
288,H10,P330,401
289,H10,P340,331
290,H10,P350,279
291,H10,P360,213
292,H10,P370,139
293,H10,P380,159
294,H10,P390,120
295,H10,P400,68
296,H10,P410,33
297,H10,P420,13
298,H10,P430,12
299,H10,P440,13
300,H10,P450,9
301,H10,P470,3
302,H11,M000,23873
303,H11,M100,6148
304,H11,M200,698
305,H11,M300,28
306,H11,P000,4069
307,H11,P010,4403
308,H11,P020,4902
309,H11,P030,4337
310,H11,P040,4841
311,H11,P050,4603
312,H11,P060,5691
313,H11,P070,5698
314,H11,P080,6401
315,H11,P090,5956
316,H11,P100,6949
317,H11,P110,6726
318,H11,P120,6907
319,H11,P130,6458
320,H11,P140,5895
321,H11,P150,5750
322,H11,P160,5541
323,H11,P170,4802
324,H11,P180,4862
325,H11,P190,4666
326,H11,P200,4445
327,H11,P210,4393
328,H11,P220,4506
329,H11,P230,3591
330,H11,P240,3476
331,H11,P250,3566
332,H11,P260,2473
333,H11,P270,2146
334,H11,P280,1761
335,H11,P290,1540
336,H11,P300,1275
337,H11,P310,1088
338,H11,P320,867
339,H11,P330,710
340,H11,P340,721
341,H11,P350,660
342,H11,P360,512
343,H11,P370,533
344,H11,P380,395
345,H11,P390,257
346,H11,P400,277
347,H11,P410,113
348,H11,P420,79
349,H11,P430,34
350,H11,P440,27
351,H11,P450,10
352,H11,P460,13
353,H11,P470,8
354,H11,P480,4
355,H11,P490,2
356,H11,P500,10
357,H12,M000,59305
358,H12,M100,14669
359,H12,M200,1841
360,H12,M300,107
361,H12,M400,2
362,H12,M500,4
363,H12,P000,10766
364,H12,P010,10959
365,H12,P020,12816
366,H12,P030,13166
367,H12,P040,13703
368,H12,P050,13551
369,H12,P060,14581
370,H12,P070,13207
371,H12,P080,14930
372,H12,P090,14061
373,H12,P100,14837
374,H12,P110,16370
375,H12,P120,17094
376,H12,P130,16663
377,H12,P140,17618
378,H12,P150,17405
379,H12,P160,16919
380,H12,P170,15667
381,H12,P180,13760
382,H12,P190,13109
383,H12,P200,12578
384,H12,P210,11127
385,H12,P220,11589
386,H12,P230,9410
387,H12,P240,9484
388,H12,P250,9148
389,H12,P260,8000
390,H12,P270,6804
391,H12,P280,6410
392,H12,P290,5481
393,H12,P300,4202
394,H12,P310,3444
395,H12,P320,2538
396,H12,P330,2229
397,H12,P340,2053
398,H12,P350,1489
399,H12,P360,1376
400,H12,P370,1142
401,H12,P380,1084
402,H12,P390,892
403,H12,P400,770
404,H12,P410,520
405,H12,P420,436
406,H12,P430,283
407,H12,P440,239
408,H12,P450,91
409,H12,P460,58
410,H12,P470,63
411,H12,P480,20
412,H12,P490,13
413,H12,P500,39
414,H12,P600,6
415,H12,P700,1
416,H13,M000,147702
417,H13,M100,35004
418,H13,M200,4120
419,H13,M300,193
420,H13,M400,4
421,H13,M500,2
422,H13,P000,25071
423,H13,P010,25049
424,H13,P020,28150
425,H13,P030,30622
426,H13,P040,34883
427,H13,P050,35691
428,H13,P060,38873
429,H13,P070,39115
430,H13,P080,40325
431,H13,P090,39088
432,H13,P100,40279
433,H13,P110,39323
434,H13,P120,39782
435,H13,P130,39279
436,H13,P140,42797
437,H13,P150,42305
438,H13,P160,43204
439,H13,P170,41867
440,H13,P180,41687
441,H13,P190,38525
442,H13,P200,36513
443,H13,P210,33674
444,H13,P220,30946
445,H13,P230,26583
446,H13,P240,24947
447,H13,P250,23612
448,H13,P260,22178
449,H13,P270,18836
450,H13,P280,18137
451,H13,P290,16512
452,H13,P300,14390
453,H13,P310,12080
454,H13,P320,10287
455,H13,P330,8079
456,H13,P340,6517
457,H13,P350,5357
458,H13,P360,4303
459,H13,P370,3758
460,H13,P380,2833
461,H13,P390,2257
462,H13,P400,1928
463,H13,P410,1744
464,H13,P420,1532
465,H13,P430,1165
466,H13,P440,950
467,H13,P450,593
468,H13,P460,461
469,H13,P470,384
470,H13,P480,258
471,H13,P490,130
472,H13,P500,152
473,H13,P600,4
474,H14,M000,345097
475,H14,M100,82783
476,H14,M200,9546
477,H14,M300,432
478,H14,M400,10
479,H14,M500,1
480,H14,P000,56349
481,H14,P010,58884
482,H14,P020,66178
483,H14,P030,67504
484,H14,P040,73689
485,H14,P050,79119
486,H14,P060,85283
487,H14,P070,89852
488,H14,P080,98887
489,H14,P090,100594
490,H14,P100,100433
491,H14,P110,103265
492,H14,P120,101925
493,H14,P130,97311
494,H14,P140,102479
495,H14,P150,96034
496,H14,P160,98118
497,H14,P170,95295
498,H14,P180,99837
499,H14,P190,94348
500,H14,P200,94034
501,H14,P210,88860
502,H14,P220,85948
503,H14,P230,76697
504,H14,P240,71551
505,H14,P250,66257
506,H14,P260,58610
507,H14,P270,51074
508,H14,P280,48369
509,H14,P290,44228
510,H14,P300,40190
511,H14,P310,33121
512,H14,P320,32601
513,H14,P330,26166
514,H14,P340,22573
515,H14,P350,20311
516,H14,P360,14878
517,H14,P370,12402
518,H14,P380,9786
519,H14,P390,8234
520,H14,P400,6485
521,H14,P410,5392
522,H14,P420,4223
523,H14,P430,3375
524,H14,P440,3030
525,H14,P450,2341
526,H14,P460,1917
527,H14,P470,1587
528,H14,P480,1169
529,H14,P490,787
530,H14,P500,1559
531,H14,P600,12
532,H15,M000,713274
533,H15,M100,172250
534,H15,M200,20997
535,H15,M300,947
536,H15,M400,11
537,H15,M500,1
538,H15,P000,125486
539,H15,P010,134420
540,H15,P020,146754
541,H15,P030,159101
542,H15,P040,156839
543,H15,P050,166913
544,H15,P060,182609
545,H15,P070,183590
546,H15,P080,200109
547,H15,P090,211760
548,H15,P100,218325
549,H15,P110,226838
550,H15,P120,234673
551,H15,P130,232758
552,H15,P140,236944
553,H15,P150,230532
554,H15,P160,230164
555,H15,P170,216414
556,H15,P180,215762
557,H15,P190,207165
558,H15,P200,208165
559,H15,P210,197370
560,H15,P220,200229
561,H15,P230,182966
562,H15,P240,178139
563,H15,P250,168081
564,H15,P260,155907
565,H15,P270,138122
566,H15,P280,129886
567,H15,P290,116156
568,H15,P300,102542
569,H15,P310,90178
570,H15,P320,85442
571,H15,P330,72299
572,H15,P340,64915
573,H15,P350,56293
574,H15,P360,49041
